Task,Embedder,Classifier,Word,n,Score,ci_lower,mean,ci_upper
subject_gender,gpt,1024,the_1,50,45.6,45.6,45.6,45.6
subject_gender,gpt,1024,cat,50,60.832,54.34064935064935,60.84229852965587,68
subject_gender,gpt,1024,chased,50,66.238,59.663571166544386,66.31152706165939,73.26801020408163
subject_gender,gpt,1024,the_2,50,75.768,68.55470322327044,75.66083861035064,82.27697916666668
subject_gender,gpt,1024,rat,50,49.662,46.54038461538462,49.69995645701606,54.0626965408805
subject_gender,gpt,1024_1024_1024,the_1,50,45.6,45.6,45.6,45.6
subject_gender,gpt,1024_1024_1024,cat,50,46.906,45.6,46.9138863467195,49.64883720930233
subject_gender,gpt,1024_1024_1024,chased,50,49.93,46.537859951603146,50.01043361817026,54.63359375
subject_gender,gpt,1024_1024_1024,the_2,50,47.572,45.6,47.58354872236687,50.5716084039548
subject_gender,gpt,1024_1024_1024,rat,50,45.628,45.6,45.62927262957857,45.6965797914996
subject_gender,gpt,20_20_20,the_1,50,45.6,45.6,45.6,45.6
subject_gender,gpt,20_20_20,cat,50,83.238,76.04783712121211,83.24358666783948,89.36953703703703
subject_gender,gpt,20_20_20,chased,50,81.524,73.52307692307693,81.49597925590137,88.59395161290323
subject_gender,gpt,20_20_20,the_2,50,80.912,74.23371327849588,80.88196670466999,87.20975133384147
subject_gender,gpt,20_20_20,rat,50,79.444,72.55769841269841,79.217456568978875,85.49993888888888
subject_number,bert,1024,the_1,50,53.204,49.25796610169491,53.18406288175476,58.16745535714286
subject_number,bert,1024,cat,50,78.81400000000001,71.87459935897435,78.82394544500225,85.88959119496856
subject_number,bert,1024,chased,50,84.932,79.21888508891928,84.94654020210217,90.47206140350877
subject_number,bert,1024,the_2,50,73.434,67.81077407407408,73.35174193401726,78.67715625
subject_number,bert,1024,rat,50,55.438,50.931791958041956,55.377020700072805,60.194761904761904
subject_number,bert,1024_1024_1024,the_1,50,47.918,47,47.92923920037461,49.99388720598717
subject_number,bert,1024_1024_1024,cat,50,52.176,48.185372621564476,52.062558138872475,56.41061363636363
subject_number,bert,1024_1024_1024,chased,50,49.032,47,48.954740001314285,52.256084770114946
subject_number,bert,1024_1024_1024,the_2,50,48.788,47,48.78615537245031,51.82853649068323
subject_number,bert,1024_1024_1024,rat,50,48.748,47,48.74146045838578,51.62585852930197
subject_number,bert,20_20_20,the_1,50,72.908,66.90602891156462,73.00201223421581,79.78285509325681
subject_number,bert,20_20_20,cat,50,79.118,71.93473824786325,79.11992177382655,86.13353773584905
subject_number,bert,20_20_20,chased,50,77.304,70.3035,77.3408350139234,84.38665806451613
subject_number,bert,20_20_20,the_2,50,77.91199999999999,72.22836524822694,77.95745342635841,83.22618055555554
subject_number,bert,20_20_20,rat,50,73.418,67.6444054409829,73.31239203096354,79.17474218749999
subject_number,elmo,1024,the_1,50,71.38,63.78333333333333,71.22846873546331,78.44335149313962
subject_number,elmo,1024,cat,50,93.64,88.33705555555557,93.61765242534024,97.92156862745098
subject_number,elmo,1024,chased,50,59.486,53.74095513413506,59.423914494984636,65.85550940438871
subject_number,elmo,1024,the_2,50,47,47,47,47
subject_number,elmo,1024,rat,50,47.924,47,47.910212756493685,50.18713311948677
subject_number,elmo,1024_1024_1024,the_1,50,49.12,47,49.085095903831586,52.640032733224224
subject_number,elmo,1024_1024_1024,cat,50,59.72,53.765957446808514,59.81204835740493,66.72153442772458
subject_number,elmo,1024_1024_1024,chased,50,49.116,47,49.09427620870843,52.39795918367347
subject_number,elmo,1024_1024_1024,the_2,50,47.944,47,47.915045877668945,50.01276595744681
subject_number,elmo,1024_1024_1024,rat,50,47.888,47,47.86493254200651,50.01059707241911
subject_number,elmo,20_20_20,the_1,50,75.62,68.45238095238095,75.38051747652314,83.04112765957447
subject_number,elmo,20_20_20,cat,50,78.8,71.4595,78.74613106290441,86.22098148148147
subject_number,elmo,20_20_20,chased,50,85.022,78.30134637188209,85.15463775436791,92.01103997289972
subject_number,elmo,20_20_20,the_2,50,72.82,65.87279166666666,72.8211750252068,79.56152727272726
subject_number,elmo,20_20_20,rat,50,74.37,68.4246110056926,74.4628498015295,80.62243421052632
subject_number,glove,1024,the_1,50,47,47,47,47
subject_number,glove,1024,cat,50,97.78,94.2373188405797,97.74246925710916,100
subject_number,glove,1024,chased,50,47.016,47,47.01561763166367,47.05106382978723
subject_number,glove,1024,the_2,50,47,47,47,47
subject_number,glove,1024,rat,50,47.014,47,47.01444758535254,47.032657630216264
subject_number,glove,1024_1024_1024,the_1,50,47,47,47,47
subject_number,glove,1024_1024_1024,cat,50,74.134,67.211775,74.24035403535025,81.24819485294118
subject_number,glove,1024_1024_1024,chased,50,47.042,47,47.042967901439944,47.143181818181816
subject_number,glove,1024_1024_1024,the_2,50,47,47,47,47
subject_number,glove,1024_1024_1024,rat,50,47.132,47,47.133011150148846,47.346671875
subject_number,glove,20_20_20,the_1,50,47,47,47,47
subject_number,glove,20_20_20,cat,50,78.172,70.43005813953488,78.05026052519464,85.21161362709098
subject_number,glove,20_20_20,chased,50,47.504,47.30208125000001,47.49990581314808,47.7289053030303
subject_number,glove,20_20_20,the_2,50,47,47,47,47
subject_number,glove,20_20_20,rat,50,49.138,48.60798181818181,49.135088494759444,49.65407857142857
subject_number,gpt,1024,the_1,50,47,47,47,47
subject_number,gpt,1024,cat,50,71.446,67.33942708333333,71.47204904408078,75.32999431818182
subject_number,gpt,1024,chased,50,92.948,88.82745535714285,92.9882600461501,96.3344969463195
subject_number,gpt,1024,the_2,50,90.06,86.30611470860315,90.09677218918775,93.0131961147086
subject_number,gpt,1024,rat,50,72.452,66.99494874184529,72.59337145135818,78.90264583333334
subject_number,gpt,1024_1024_1024,the_1,50,47,47,47,47
subject_number,gpt,1024_1024_1024,cat,50,51.948,48.78103947368421,51.91612977137552,55.430523584905664
subject_number,gpt,1024_1024_1024,chased,50,54.752,50.28957627118645,54.57767348492693,59.580641666666665
subject_number,gpt,1024_1024_1024,the_2,50,54.176,50.04393774703558,54.18251765444333,58.951399253731346
subject_number,gpt,1024_1024_1024,rat,50,47.9,47,47.914779723347394,50.001704545454544
subject_number,gpt,20_20_20,the_1,50,47,47,47,47
subject_number,gpt,20_20_20,cat,50,76.12,71.49789073426574,76.13634069927777,80.1336717585693
subject_number,gpt,20_20_20,chased,50,84.486,77.79325316169827,84.35896605966171,90.62488945578231
subject_number,gpt,20_20_20,the_2,50,77.94800000000001,71.51789772727273,77.78572136899102,83.83443398727465
subject_number,gpt,20_20_20,rat,50,76.14,70.08514705882354,76.23841094783633,82.3147274763564
verb_causative,bert,1024,the_1,50,51.134,49.6,51.13268323249003,53.123953488372095
verb_causative,bert,1024,cat,50,53.286,50.8207184385382,53.311412012731665,56.08417613636364
verb_causative,bert,1024,chased,50,62.704,58.43979787234042,62.84161961282209,67.25668585526314
verb_causative,bert,1024,the_2,50,58.124,54.52489583333333,58.15218237302268,61.7188962264151
verb_causative,bert,1024,rat,50,59.954,56.08690476190476,59.88017562062652,64.0293675595238
verb_causative,bert,1024_1024_1024,the_1,50,49.596000000000004,49.58571428571429,49.59579610705166,49.6
verb_causative,bert,1024_1024_1024,cat,50,50.736000000000004,49.6,50.713344360610584,52.40954595791805
verb_causative,bert,1024_1024_1024,chased,50,49.6,49.6,49.6,49.6
verb_causative,bert,1024_1024_1024,the_2,50,49.6,49.6,49.6,49.6
verb_causative,bert,1024_1024_1024,rat,50,50.236000000000004,49.6,50.211205884034996,51.72
verb_causative,bert,20_20_20,the_1,50,68.408,64.36215909090909,68.3667884525176,72.26665412558381
verb_causative,bert,20_20_20,cat,50,65.25,61.235483333333335,65.27441011064428,69.12029306220096
verb_causative,bert,20_20_20,chased,50,71.924,67.60293333333333,71.9397550111442,76.16674523809525
verb_causative,bert,20_20_20,the_2,50,68.232,63.62158854166666,68.20455709535393,72.5226559454191
verb_causative,bert,20_20_20,rat,50,68.672,63.81793269230769,68.61598279907437,73.35179895901105
verb_causative,elmo,1024,the_1,50,49.6,49.6,49.6,49.6
verb_causative,elmo,1024,cat,50,49.6,49.6,49.6,49.6
verb_causative,elmo,1024,chased,50,84.464,79.15182558139534,84.39274474539171,88.80574404761904
verb_causative,elmo,1024,the_2,50,67.118,62.01756302521008,67.20881678646718,72.49390625000001
verb_causative,elmo,1024,rat,50,58.274,54.267234719864184,58.2807016159758,62.640451273532676
verb_causative,elmo,1024_1024_1024,the_1,50,49.6,49.6,49.6,49.6
verb_causative,elmo,1024_1024_1024,cat,50,50.174,49.6,50.14969855878164,51.45211605890603
verb_causative,elmo,1024_1024_1024,chased,50,53.098,50.412590909090916,53.02516787619109,56.395808946488295
verb_causative,elmo,1024_1024_1024,the_2,50,51.978,49.6,51.99772169330816,54.69012820512821
verb_causative,elmo,1024_1024_1024,rat,50,50.410000000000004,49.6,50.425353680949236,52.42599449204406
verb_causative,elmo,20_20_20,the_1,50,69.336,63.27012004801921,69.20326523549197,74.900625
verb_causative,elmo,20_20_20,cat,50,66.308,62.45814031620553,66.21847861241423,69.76134954637097
verb_causative,elmo,20_20_20,chased,50,79.188,73.47594328703705,79.2002653808114,84.5649175035868
verb_causative,elmo,20_20_20,the_2,50,72.682,66.48537375415282,72.48067253977526,77.93061363636365
verb_causative,elmo,20_20_20,rat,50,67.584,62.55328389830509,67.58362165985437,73.01599767080745
verb_causative,glove,1024,the_1,50,49.6,49.6,49.6,49.6
verb_causative,glove,1024,cat,50,49.59,49.5673731884058,49.59000668332935,49.6
verb_causative,glove,1024,chased,50,98.238,95.89273885989563,98.25541778572106,99.64273936170213
verb_causative,glove,1024,the_2,50,49.6,49.6,49.6,49.6
verb_causative,glove,1024,rat,50,49.6,49.6,49.6,49.6
verb_causative,glove,1024_1024_1024,the_1,50,49.6,49.6,49.6,49.6
verb_causative,glove,1024_1024_1024,cat,50,49.6,49.6,49.6,49.6
verb_causative,glove,1024_1024_1024,chased,50,76.768,70.20544127086008,76.69374098776889,82.74181493506494
verb_causative,glove,1024_1024_1024,the_2,50,49.6,49.6,49.6,49.6
verb_causative,glove,1024_1024_1024,rat,50,49.6,49.6,49.6,49.6
verb_causative,glove,20_20_20,the_1,50,49.6,49.6,49.6,49.6
verb_causative,glove,20_20_20,cat,50,49.962,49.75331355932204,49.96048984843,50.19540414066931
verb_causative,glove,20_20_20,chased,50,79.69200000000001,73.21502500000001,79.7208599851983,86.4428846153846
verb_causative,glove,20_20_20,the_2,50,49.6,49.6,49.6,49.6
verb_causative,glove,20_20_20,rat,50,49.9,49.62036670918368,49.90003059386677,50.17415948275862
verb_causative,gpt,1024,the_1,50,49.6,49.6,49.6,49.6
verb_causative,gpt,1024,cat,50,49.6,49.6,49.6,49.6
verb_causative,gpt,1024,chased,50,70.468,66.37371521739132,70.5210671342856,74.24944129979035
verb_causative,gpt,1024,the_2,50,82.83,80.38234903381644,82.90563243865266,84.94456666666667
verb_causative,gpt,1024,rat,50,79.542,75.68240693196407,79.50449318513319,82.77723990208078
verb_causative,gpt,1024_1024_1024,the_1,50,49.6,49.6,49.6,49.6
verb_causative,gpt,1024_1024_1024,cat,50,49.6,49.6,49.6,49.6
verb_causative,gpt,1024_1024_1024,chased,50,54.674,51.91606542617047,54.71431950633835,58.0841369047619
verb_causative,gpt,1024_1024_1024,the_2,50,56.666000000000004,52.99748730043541,56.62504434245515,61.10843070652174
verb_causative,gpt,1024_1024_1024,rat,50,53.234,50.440000000000005,53.15301616054335,56.414739583333336
verb_causative,gpt,20_20_20,the_1,50,49.6,49.6,49.6,49.6
verb_causative,gpt,20_20_20,cat,50,49.52,49.467242694805194,49.519430229775914,49.55555555555556
verb_causative,gpt,20_20_20,chased,50,67.926,63.72367222222222,68.01162632183647,72.44040625
verb_causative,gpt,20_20_20,the_2,50,74.356,69.8448403250189,74.4065078299886,78.49587430426716
verb_causative,gpt,20_20_20,rat,50,71.938,67.01882694938439,71.86085347230447,76.06292291395044
verb_dynamic,bert,1024,the_1,50,60.056,56.04827777777778,59.990219885899,64.3697754010695
verb_dynamic,bert,1024,cat,50,59.438,55.13483333333333,59.35014086682375,63.48475588235294
verb_dynamic,bert,1024,chased,50,72.614,68.25945728291317,72.59455312639943,76.90594997806055
verb_dynamic,bert,1024,the_2,50,59.532,56.23723889555822,59.60084848289882,63.57804074074073
verb_dynamic,bert,1024,rat,50,62.256,58.07136431784108,62.291880288167896,66.11156593406594
verb_dynamic,bert,1024_1024_1024,the_1,50,50.9,50.9,50.9,50.9
verb_dynamic,bert,1024_1024_1024,cat,50,52.11,50.9,52.11960553018043,53.92552499999999
verb_dynamic,bert,1024_1024_1024,chased,50,50.9,50.9,50.9,50.9
verb_dynamic,bert,1024_1024_1024,the_2,50,50.9,50.9,50.9,50.9
